,source,task,category,ability,answer
682,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,B
683,ToMBench,Discrepant Desires,Desire,Desire: Discrepant desires,B
684,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
685,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,B
686,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
687,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
688,ToMBench,Discrepant Desires,Desire,Desire: Discrepant desires,C
689,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
690,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
691,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
692,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
693,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C
694,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
695,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A
696,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,D
697,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,C
698,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
699,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
700,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B
701,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
702,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
703,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C
704,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,D
705,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
706,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
707,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
708,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,A
709,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
710,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
711,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
712,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
713,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,A
714,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
715,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
716,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
717,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
718,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
719,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
720,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,C
721,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A
722,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
723,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
724,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
725,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
726,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,C
727,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
728,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
729,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
730,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A
731,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
732,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
733,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,A
734,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
735,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,C
736,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,A
737,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
738,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
739,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
740,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,C
741,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C
742,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,B
743,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,B
744,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,D
745,ToMBench,Knowledge-Attention Links,Knowledge,Knowledge: Knowledge-attention links,D
746,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
747,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
748,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,D
749,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
750,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
751,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,D
752,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C
753,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
754,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
755,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C
756,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
757,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
758,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,C
759,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
760,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
761,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
762,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
763,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
764,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
765,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
766,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
767,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
768,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A
769,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
770,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,B
771,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
772,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A
773,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B
774,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
775,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A
776,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
777,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A
778,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
779,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
780,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
781,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,C
782,ToMBench,Hinting Task Test,Non-Literal Communication,Non-Literal Communication: Irony/Sarcasm,C
783,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A
784,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
785,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
786,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
787,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
788,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
789,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
790,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
791,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,A
792,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
793,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
794,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
795,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
796,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
797,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
798,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
799,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
800,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A
801,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,D
802,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
803,ToMBench,Multiple Desires,Desire,Desire: Multiple desires,A
804,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B
805,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
806,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,B
807,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
808,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A
809,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C
810,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
811,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,A
812,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
813,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
814,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
815,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,A
816,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
817,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B
818,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,D
819,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
820,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
821,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,A
822,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B
823,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
824,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,D
825,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
826,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,C
827,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
828,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,A
829,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,C
830,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,B
831,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C
832,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,C
833,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,B
834,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
835,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B
836,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,A
837,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
838,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,D
839,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C
840,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
841,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B
842,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
843,ToMBench,Knowledge-Attention Links,Knowledge,Knowledge: Knowledge-attention links,B
844,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,A
845,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
846,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
847,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,A
848,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
849,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
850,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,C
851,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
852,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,B
853,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,D
854,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
855,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B
856,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Humor,B
857,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
858,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
859,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
860,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
861,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,A
862,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,B
863,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B
864,ToMBench,Knowledge-Attention Links,Knowledge,Knowledge: Knowledge-attention links,C
865,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,A
866,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
867,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,B
868,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
869,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,D
870,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
871,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
872,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
873,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,D
874,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,A
875,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
876,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,A
877,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
878,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
879,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
880,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,B
881,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
882,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
883,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
884,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,C
885,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
886,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,D
887,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,B
888,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A
889,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
890,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
891,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C
892,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
893,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A
894,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,A
895,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
896,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,C
897,ToMBench,Multiple Desires,Desire,Desire: Multiple desires,A
898,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,C
899,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
900,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
901,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,B
902,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
903,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,A
904,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,A
905,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
906,ToMBench,Percepts-Knowledge Links,Knowledge,Knowledge: Percepts-knowledge links,D
907,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
908,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
909,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,D
910,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,D
911,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Irony/Sarcasm,B
912,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
913,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
914,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
915,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,D
916,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
917,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,C
918,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,A
919,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
920,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on actions,C
921,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,B
922,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,B
923,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,A
924,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,A
925,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,B
926,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
927,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,C
928,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
929,ToMBench,Strange Story Task,Emotion,Emotion: Mixed emotions,A
930,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
931,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,A
932,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,D
933,ToMBench,Discrepant Intentions,Intention,Intention: Discrepant intentions,A
934,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
935,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,C
936,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
937,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,D
938,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
939,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,A
940,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,B
941,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
942,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
943,ToMBench,Strange Story Task,Belief,Belief: Identity false beliefs,C
944,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
945,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,A
946,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
947,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,B
948,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,B
949,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
950,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A
951,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,D
952,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
953,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
954,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
955,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,A
956,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on emotions (beliefs),C
957,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B
958,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
959,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
960,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
961,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
962,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
963,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,B
964,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,A
965,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
966,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
967,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
968,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
969,ToMBench,Completion of Failed Actions,Intention,Intention: Completion of failed actions,B
970,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
971,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,A
972,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
973,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
974,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
975,ToMBench,Prediction of Actions,Intention,Intention: Prediction of actions,D
976,ToMBench,False Belief Task,Belief,Belief: Content false beliefs Belief: Second-order beliefs,A
977,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
978,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,A
979,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
980,ToMBench,Discrepant Emotions,Emotion,Emotion: Discrepant emotions,D
981,ToMBench,Knowledge-Pretend Play Links,Knowledge,Knowledge: Knowledge-pretend play links,A
982,ToMBench,Hidden Emotions,Emotion,Emotion: Hidden emotions,C
983,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
984,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,C
985,ToMBench,False Belief Task,Belief,Belief: Location false beliefs Belief: Second-order beliefs,C
986,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
987,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,A
988,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
989,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
990,ToMBench,Hinting Task Test,Intention,Intention: Intentions explanations,A
991,ToMBench,Strange Story Task,Desire,Desire: Desire-action contradiction,D
992,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
993,ToMBench,Emotion Regulation,Emotion,Emotion: Emotion regulation,B
994,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,D
995,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,D
996,ToMBench,Moral Emotions,Emotion,Emotion: Moral emotions,D
997,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: White lies,B
998,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,B
999,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,D
1000,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,B
1001,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Atypical emotional reactions,A
1002,ToMBench,Persuasion Story Task,Desire,Desire: Desires influence on emotions (beliefs),D
1003,ToMBench,Strange Story Task,Non-Literal communication,Non-Literal communication: Egocentric lies,B
1004,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,C
1005,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
1006,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,C
1007,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,D
1008,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,A
1009,ToMBench,Multiple Desires,Desire,Desire: Multiple desires,A
1010,ToMBench,Scalar Implicature Test,Knowledge,Knowledge: Information-knowledge links,B
1011,ToMBench,Strange Story Task,Belief,Belief: Beliefs based action/emotions,C
1012,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,A
1013,ToMBench,False Belief Task,Belief,Belief: Location false beliefs,D
1014,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,A
1015,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,D
1016,ToMBench,Ambiguous Story Task,Intention,Intention: Intentions explanations,C
1017,ToMBench,Unexpected Outcome Test,Emotion,Emotion: Typical emotional reactions,D
1018,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B
1019,ToMBench,Strange Story Task,Intention,Intention: Intentions explanations,B
1020,ToMBench,Faux-pas Recognition Test,Non-Literal Communication,Non-Literal Communication: Faux pas,C
1021,ToMBench,Unexpected Outcome Test,Belief,Belief: Sequence false beliefs,C
1022,ToMBench,Ambiguous Story Task,Belief,Belief: Beliefs based action/emotions,C
1023,ToMBench,False Belief Task,Belief,Belief: Content false beliefs,A
1024,ToMBench,Strange Story Task,Non-Literal Communication,Non-Literal Communication: Involuntary lies,B
